asin,helpful_vote,images,parent_asin,rating,text,timestamp,title,user_id,verified_purchase
B079YGNQ6K,0,"",B079YGNQ6K,2.0,Product came with a bead broken off.  Worrisome since babies/tots play with this.  Could be a choking hazard if the break one off. Cheaply made.  Spend the extra money for the block at target…it’s made very well and will last a lifetime.  I returned this product.,,Cheaply made,AE3Q6AEWP7Y7CH4N6IWEP4YBNP2A,true
B004PR49EM,0,"",B08MS5DKXK,5.0,"My 3 yr. old grandbaby seems to like the letter & number magnatab better than this one but I think as she gets a little older, she'll like this one, too.",,FREE PLAY MAGNATABS,AGKFRCDY4WBW4RH6GFYFJ3T3XBSA,true
B000FJ2HDE,0,"",B0C1CYC8H8,5.0,"I got these for my granddaughter.  She likes to see trucks & tractors and says &#34;vroom, vroom&#34; when she sees some.  Girls like to play with trucks just like little boys do so I got these for her.  Very sturdy for a 20 month old with which to play.",,TUFF LITTLE TRUCKS,AGKFRCDY4WBW4RH6GFYFJ3T3XBSA,true
B0006NGVKY,0,"",B0006NGVKY,5.0,these are sooo adorable i have quite a few  in my collection,,Love It,AHGAOIZVODNHYMNCBV4DECZH42UQ,true
B01B1WMP2Q,2,"",B01B1WMP2Q,1.0,being returned NO INK  all dried out !!!!!,,dont bother,AHGAOIZVODNHYMNCBV4DECZH42UQ,true
B00HT5HBMO,0,"",B00HT5HBMO,5.0,"Had these for a few weeks now, they are easy for your owe voice record on them. I am trying to get my dog to learn to step on it when it needs to go outside.",,This are great for training dogs,AE7Y5RLYIKHOZB5NKKOEKYG2SPSQ,true
B091J5HX61,0,"",B091J5HX61,5.0,Great for a little girl - lots of different ways to occupy her time.,,Great for a little girl,AEMO4BFY2UXCQE4XOFORK5EFFCDA,true
B0007DHT7M,0,"",B08GKBGQ7P,5.0,My 2 year old grandson loves it!,,Sturdy especially for 4 and under.,AHY7ZJB523OPTIKXRI63PS2V6FSQ,true
B07RXQ3GKH,0,"",B07RXQ3GKH,5.0,I use these to startle my cleaning lady.  I also carry a few around with me to slip into people’s houses as a prank.  They’re very lifelike.,,Great prank,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,true
B000FGECAI,21,"",B000FGECAI,5.0,"I purchased 2 Kanoodles for my 7 and 11 year old grandsons.  Both loved it.  There are several levels to 'play' which was nice.  The boys played with it over and over.  I think it would be great for a road trip, maybe on a plane.  Worthy of a try in my opinion. Would be great as a stocking stuffer too.  Comes is a nice metal case to keep pieces.  Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out.  I've been doing reviews for over 25 years with Amazon - nearly 6,000 reviews posted, viewed over 50,000 times, and over 24,000 likes.",,Kanoodle,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B00YFR1XX2,0,"",B084K4DY6M,5.0,"Purchased this puzzle for an older friend who just loves puzzles with cats, books, people... this fit the bill perfectly.  She loves it.  Pieces fit together nicely and neatly.",,puzzle 750 pieces,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B08WRKSFJ9,0,"",B08VSFMQQF,5.0,Purchased for an older friend who love puzzles with 'little people' in them - so she loves this one.  It's so hard to be inside a lot more than we used to and puzzles work for her as a 'task.'  Arrived quickly (I have prime and it mostly works lately) and in good shape with another puzzle I had ordered.,,750 piece puzzle,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B08J4JDZ5F,1,"",B0BHBF41WG,5.0,"Skipbo card game in a tin.  Easy game to play and learn.  play 2-6 people but I think that 2 are the best, most fun - person opinion.  Says age 7 and up - I think that is accurate.",,Skipbo card game,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B07S1S5QJV,5,"",B0982S2MBC,5.0,"Made as an additional purchase to some beach toys.  These are the perfect match.  Handles... Mesh, so most of the sand stays on the beach or in the yard.  They also fold up into these selves if you want/need them to for easy storage.  I have 2 grandsons, so 2 is the perfect number for me. I never hesitate to update my reviews should new info seem useful.",,mesh beach bags,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B00B4WIZ2I,1,"",B00B4WIZ2I,5.0,My six year old grandson is a huge plush toy fan and asked for a husky.  I loved the play stance of this one and it is different than other plush animals he has.  Hope he loves it as much as I did!,,plush husky,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B083GT7X9R,0,"",B083GP2XRQ,3.0,Ok... this is great.  IF IF IF - you open the box really quickly.  If you slowly open it - you can see the spider before opening and it takes the surprise and shock right out.  Eh.,,jumping spider box,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B01CRIARDC,0,"",B01CRIARDC,1.0,"The ad says \"metal and plastic\" planes.  NOT A SINGLE PLANE has ANY metal.  Since I was burying these in my sandy yard for grandsons to detect with detectors. So this was a NO good for me.  Because the ad is blatantly not true, I do NOT recommend purchasing these.",,plastic planes,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B07R55R85H,0,"",B07R55R85H,5.0,Was looking for something a little more weighty... for a pirate chest.  Eh.  They are very light weight - magnet on the back - meant for fridge... Guess they could work for that... but not that great for my purpose!  The gold paint is very shiny.,,fake gold bars,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B00062J99K,1,"",B00062J99K,5.0,I wanted something easy to use with my adult color books.  These are perfect.  The size of a skinny pencil - so it's not like holding a crayon.  I like them.  Wish they came in the 64 color option - but 24 is ok.,,rectractable crayons,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B07H4K9QYF,1,"",B07H4K9QYF,5.0,"My grandson is busy collecting all of these reversible type stuffed toys... and he likes this because it is very easy to reverse.  Some of the others with legs and tails and ears are bit more challenging.  So this \"mochi\" shape is the easiest.",,reversible mochi shape,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B07SY83694,1,"",B07SY83694,5.0,"I purchased these because my 8 year old grandson couldn't hold all the cards in his hands.  These work great.  They are heavy... they are wood... but they don't tip over..  They don't hold a bunch of cards, but he can use 2 of them and pretty much play anything we want to without struggling to hold them all.",,card holder,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B07F22TH44,0,"",B07F22TH44,4.0,The only issue I have with these is that they are very difficult to shuffle... but they are fun to play games with.  It's just tricky to shuffle.,,large deck of cards,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B06VVJ3Z8R,29,"",B06VVJ3Z8R,5.0,"I purchased 5 different of these singing toys... and I LOVE LOVE LOVE them all. I have to admit this one is probably my fav... sounds like a really excited, happy chimp... bounces around and twirls a bit.  He is SUPER SUPER soft and really cute. He came loaded with batteries and an on/off toggle. A lot of fun and he NEVER fails to make a smile! I am thinking he could be really fun for an older person too... If you press his foot he starts, if you press again he stops.  Honestly, he's pretty dang perfect.  I never hesitate to update my reviews should new info seem useful.",,furry chimp,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B01IQAMN4G,0,"",B0C2XYF31R,5.0,"If you own ANY nerf guns... you're gonna need these.  My grandsons are reasonably good with their &#34;darts&#34; but lets be honest... a few stray and are not recovered.  They have the flex 2 guns ( a medium size nerf gun) and they fit perfectly. I like knowledge that I have a good backup supply - ending the &#34;tears&#34; and frustration over missing darts or &#34;somebody has more than me&#34; battles.  I also felt they were a fair price compared to what was locally available to me however, Amazon delivers to my door - saving me gas too.  I never hesitate to update my reviews should new info seem useful.",,300 piece nerf darts,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B00QYHMWNQ,7,"",B00QYHMWNQ,5.0,"I you are a Guardians fan, you will love love LOVE this baby groot!  He is adorable.  He dances to sounds around him and to the Jackson 5 tune by pushing a button.  Plays about a 30 second snippet.  I will say that as baby groot while he is dancing (rotating in one direction), you can hear a mechanical sound... but it doesn't detract from his cuteness quotient for me. Baby groot is a rubber like material in a plastic planter. The whole item including the planter is about 8&#34; tall.  The plastic planter is about about 3 1/2&#34; in circumference... just eyeballing it. I never hesitate to update my reviews should new info seem useful.",,Baby Groot,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B00HDGJY8S,9,"",B00HDGJY8S,5.0,"purchased for my grandsons to use when visiting..... it is large.... large enough for an an adult to get into.  The material is a cotton canvas... not terribly thick, but not too thin in my opinion.  It was relatively easy to put together... I like that this is a bottom floor attached.  It is quite popular to stay grandma's and camp out.... I added some &#34;nap pads&#34; which are perfect for the 5 and 2 year old.  I also added a stuffed bear and alligator and a camp lantern that is a lantern or a star map night light.  Honestly, I keep it up in the corner of my living room so it is ready for any visit. It does come with a handy bag that has a handle if you'd like to store it when not in use.  The poles are wood... a pine I believe... very sturdy.  I would recommend this teepee...  I always update if there are any issues that may be helpful.<br />3/25/2016 UPDATE:  ...so I just finished deconstructing the teepee and felt an undate with tips might be helpful... first... you will never get the canvas teepee back into the canvas bag provided... it's like folding/rolling a really thick fitted sheet and trying to get into a tube sock.... BUT the wooden poles fit nicely into the canvas bag along with the plastic connector pieces... it would have been nice if the connectors gripped the poles better and stayed connected during the deconstruct phase... however... I just removed all the holed top pieces and then turned the teepee upside down and shook it sort of like a pillow case... the lower pieces eventually come out...  I just rolled the teepee up, put all the poles and connector pieces in the bag and set in a large drawer I have.  I would have lowered my rating one star for the deconstruct hassle, but honestly, my grandsons love it so much I just can't. The quality is such that this is going to last for many years if we take care of it.  It's just a matter of learning how to use it in an efficient manner.  Also... I have hard wood floors, so I went to a local carpet store and purchased some carpet padding.  I cut into a circle and place it under the teepee when I have it set up... I worry less about bonked heads that way - grandsons 5 years and 2 years.  Ok!  Hope this is indeed helpful info!",,Very sturdy and worth it,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B008KUXKAE,6,"",B008KUXKAE,5.0,"First, this wagon is REALLY REALLY big.  I knew it would be long, but it's really long. Plenty of room for small rear ends AND cargo.  My niece came over and &#34;built&#34; it for me.  Took her about an hour to attach wheels, &#34;trunk&#34; and canopy.  The handle was already attached to the body.  We did struggle a bit to get the canopy on so I believe it will just stay on.  Living in Oregon on the coast, it's probably just as well.  There is always a bit of moisture in the air.  The handle is quite sturdy and the molded plastic is as well. I believe it will last well beyond when I would need it.",,Oh boy,AFZUK3MTBIBEDQOPAK3OATUOUKLA,true
B07JB7KKF8,0,"",B09ZHW3LB6,3.0,Not slow enough for little one which is who be bought it for.  Haven’t used it long enough to know durability or sturdiness,,Toddler gift,AH4VGTN3VWRIESJMI4VGQHSQ4KRA,true
B07MYG4YHD,0,"",B08YN1ZG2G,5.0,"These were a gift for my daughter and she was really impressed....scored major \"mom\" points.  They are good weight and look high quality.",,Better than expected,AGF42GID7QWDCNFTJRCTMKAITJJA,true
B00JM5G9T0,0,"",B00JM5G9T0,5.0,This carrier is so great if your kid has dolls but also if they have stuffies or just one doll and their own cloths for a weekender....makes them feel like a real big kid....I love it!,,Perfect if Your Little One Can't Decide,AGF42GID7QWDCNFTJRCTMKAITJJA,true
B08VSCCTDN,0,"",B0CFM75P3T,5.0,This little guy is SO CUTE! I bought him as a gift and I don't want to part with him! I will probably just have to buy another one! He has personality and will make an adorable present!  Very well made!,,This little guy is SO CUTE!,AEWLOQTKYUYRJ24NK4GD5CZTR7WA,true
B09GB1LMST,0,"",B0BHDMRRSS,5.0,Grandson 1 1/2 years old and loves it! Takes his snack cup in it with him lol!,,My grandson Loves it!,AECABX3OO3GK7FCPZLFM3LT2E6UA,true
B08QCPDD64,0,"",B08QCPDD64,4.0,It is cute and fine  _ just pay attention that its not big.,,Pay attention to size,AHPUDDBBBV2WPNPBJXFXK3NJP7DQ,true
B08SNMJCFS,1,"",B08SNMJCFS,5.0,This little doll is just adorable!,,Very cute!,AFMYNMB2GBYEFN6OAIHXF6AVYJFQ,true
B07Y98CFPB,0,"",B0BJXXBSTG,5.0,"Our family love these giant cards! Whenever we have people over they comment on how they love how big they are. We also bought these, the mini-Uno game, and Uno Attack as a family gift for friends. They are going to love it no doubt!",,Love this game!,AFMOHJOF54QARPV5DJNPJDN3F4AQ,true
B083C47FVR,6,"IMAGE,https://images-na.ssl-images-amazon.com/images/I/A1FOu6WjuBL._SL1600_.jpg,https://images-na.ssl-images-amazon.com/images/I/A1FOu6WjuBL._SL800_.jpg,https://images-na.ssl-images-amazon.com/images/I/A1FOu6WjuBL._SL256_.jpg",B083C47FVR,5.0,Cute. Nice quality. Used rapunzel as a cake topper and it worked well,,Nice,AFWTME2ROGUQI5J5FB3DWCLKZNBA,true
B000V98HCI,0,"",B0843H25SK,5.0,I wish there were more vowels as there aren’t enough to spell many words. Otherwise good quality and sticks to bathtub walls well.,,Otherwise good quality and sticks to bathtub walls well,AFWTME2ROGUQI5J5FB3DWCLKZNBA,true
B01MQ3YP7Y,0,"",B01MQ3YP7Y,4.0,Good quality but has lots of small pieces,,Toy,AHFZUNQFXSVVT6Z6BYKE5CLBX3KQ,true
B00EV5J41Q,0,"",B00EV5MXA0,5.0,Really fun gift for dad who loves football,,Good delivery,AHFZUNQFXSVVT6Z6BYKE5CLBX3KQ,true
B09NZTMWGT,0,"",B09NZTMWGT,1.0,"Inflated at 11 AM and by 5 PM was deflated and water pouring out. And yes, I did follow all instructions and made sure air plugs where in securely.  So disappointed cause size is perfect for me. Older women who just wants to float and cool off!",,Do not buy!,AF4KGFYH26KERCGL7IO2KQKJM2SQ,true
B000L8EEPS,1,"",B0C2QCBXLR,1.0,Pool had a leak in it in the bottom part  the first time I pumped it up. Couldn't find the leak and too long had passed so I couldn't replace it.  Very disappointed.,,Very disappointed.,AF4KGFYH26KERCGL7IO2KQKJM2SQ,true
B08CVRCFX3,0,"IMAGE,https://m.media-amazon.com/images/I/A1NPbdR1hwL._SL1600_.jpg,https://m.media-amazon.com/images/I/A1NPbdR1hwL._SL800_.jpg,https://m.media-amazon.com/images/I/A1NPbdR1hwL._SL256_.jpg",B09JB6PK85,5.0,"Easy to use, worth the money.<br />Hardest part was the clean up! Lol",,Worth it!,AG44DQLCEHRU62BFWBHDAIIHS4XQ,true
B003VPQFRI,4,"",B003VPQFRI,4.0,"After receiving the liquid glass putty as a gift, I was hooked and soon purchased the oil slick. It has a nice color, almost an iridescent purple/green but it is a bit stiffer than the clear putty I was used to so it takes longer to soften up in your hands. Will be purchasing another soon I think",,another nice crazy aarons product,AEH66QD7CSPM7ZVH7D7LRSA5HSNQ,true
B07D3RZRXH,0,"",B07D3RZRXH,5.0,Mom's gift was loved,,Kid MGT lover approved,AF4XAUOI5XPGWHCPOTORKBIJSRDA,true
B00ZDKV1TG,0,"",B00ZDKV1TG,5.0,Great quality great colors although i didn't realize every die was the same count<br />.. I should of read better,,All the same count .. But nice dice,AF4XAUOI5XPGWHCPOTORKBIJSRDA,true
B073RZG1XZ,2,"",B073RZG1XZ,5.0,My son is a magic freak<br />He loves this deck,,Son loves these,AF4XAUOI5XPGWHCPOTORKBIJSRDA,true
B0012G9FY8,0,"",B0012G9FY8,4.0,"works fine.  Easy to store when you are not able to put together the puzzle and still need the dinner table, hehe.",,love being able to have a kitchen table for dinners ;),AERX7K5IE767MVLOYBUNPUXDTGJQ,true
B084Y8SHX8,1,"IMAGE,https://m.media-amazon.com/images/I/61Qkpya3T7L._SL1600_.jpg,https://m.media-amazon.com/images/I/61Qkpya3T7L._SL800_.jpg,https://m.media-amazon.com/images/I/61Qkpya3T7L._SL256_.jpg",B084Y8SHX8,2.0,It broken when I open the box like this !! I am not happy ! Please refund for this price so I keep this  please let me know thanks,,Not happy !😞,AGJXTLEOLLTIX5AAGFPBZ7CNNVOQ,true
B089V8BP3X,0,"",B089V8BP3X,5.0,Like to see color light !,,My grandniece love it!,AGJXTLEOLLTIX5AAGFPBZ7CNNVOQ,true
B00LUX7EN2,0,"",B09PVF5VK7,5.0,love it my favorite .. Thanks,,Five Stars,AGJXTLEOLLTIX5AAGFPBZ7CNNVOQ,true
B0719DKTZB,0,"",B0719DKTZB,5.0,My 11 year old loved it!,,Good for my 11 year old,AHORTSSMI6ZZFUFWMPT4UFR2ISUQ,true
B002YNS0EE,0,"",B002YNS0EE,5.0,My grandson loves playing with it.  The tune on it is the same as the tune of the Fisher Price school bus.  This is well worth the money.,,My grandson loves playing with it. The tune on ...,AE4KVNO5P6N6SP6CQTZTIDHEAWFQ,true
B007Q0OVA2,1,"",B007Q0OVA2,5.0,"Great design, big, impressive Star Wars fighter plane.  Lots and lots and lots of Lego pieces to put together and some fierce characters and my eight year old grandson loved it!  Big hit!",,Huge Star Wars Fighterplane!  Huge Hit with Grandson!,AGFWIDDE6JBJ5UPX7EZTSZELRCPQ,true
B000BKGZF8,0,"",B000BKGZF8,5.0,we bought two sets to do various matching games. there are lots of games to come up with easily when you have these. wonderful fun!,,get two sets,AEFLH72MFY4GRTNI3KZXNE4IUB2Q,true
B007NWG7QE,0,"",B079MRYWDH,5.0,My 8 year old granddaughter loves this soft snuggle.,,Snuggles,AHU6EAT6MRU7DOTX5AJ2XMTWFQRA,true
B000084JMC,0,"IMAGE,https://m.media-amazon.com/images/I/810YuKZ8T0L._SL1600_.jpg,https://m.media-amazon.com/images/I/810YuKZ8T0L._SL800_.jpg,https://m.media-amazon.com/images/I/810YuKZ8T0L._SL256_.jpg",B000084JMC,5.0,"This is such an awesome puzzle! My 3 year old grandson needs a little help with this, so it’s fun to work together on it!! I’d definitely buy this again!!!",,My grandson loves this puzzle,AFXIUBD7MXOW6DBKXW7L5UKBM4IQ,true
B085KXCC7G,0,"",B085KXCC7G,2.0,"Cute, but doesn't work. Cheply made and overpriced",,Doesn't work as advertised,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,true
B07DGCQJWR,0,"",B07VWY68V4,4.0,Granddaughter will love this.,,Cute gift,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,true
B014JYT5NA,0,"",B014JYT5NA,5.0,the kids like it,,the kids like it,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,true
B07H7RGM89,0,"",B07H7RGM89,5.0,Great quality stepping stones that will endure lots of play.,,Quality product,AEZ5SFMDJRYHJUGJN2MGWRMPVOKQ,true
B07N8XB67N,0,"",B07N8XB67N,5.0,Great product! Fun to watch and stack!  We need more now!,,Sensory friendly blocks,AEZ5SFMDJRYHJUGJN2MGWRMPVOKQ,true
B08T1PD1N2,0,"",B08T1PD1N2,5.0,Nice gift for children.,,Kids lived them!,AG2BJOE43JDTA64QMYS6WLUS37WA,true
B097RHY5M4,0,"",B097RHY5M4,3.0,"So small, glad it was for a small child just for fun & not a gift",,A lot smaller than the appearance on line,AFPBVAEV3FCQOHKJJGAKQLZLTCZQ,true
B0035Y5FS0,2,"",B0035Y5FS0,5.0,Perfect for creating your own photo light box,,Would recommend,AHY55PORR7VYL72JBUYNSO6KCA5A,true
B00FXWQQLW,0,"",B00FXWQQLW,5.0,Well made and arrived fast,,Five Stars,AHY55PORR7VYL72JBUYNSO6KCA5A,true
B07XHLZJ71,0,"",B0BPBW7JGR,1.0,Balloons are terrible,,Big balloons are no good,AHP7JZGBY57C6SQPZUNDIC6RYR4Q,true
B075R94T1L,0,"",B075R94T1L,5.0,Niece enjoyed it,,She had fun constructing it,AHSAUHUTLVNKJ72GUIPGI5XZH6ZA,true
B08QN4CCP2,0,"",B08QN4CCP2,5.0,Works great!  Makes using standard LiPo batteries a synch with a Traxxas vehicle.,,Saves lots of money!,AG5KDDU7RCGXHBA6BPPXXW3IP6UA,true
B00IJLZYCG,0,"",B00IJLZYCG,5.0,A gift for my grandson - I know it'll make him laugh!,,So ugly it's cute!,AFQYT7EAPIHCFFCHKNSOSFJH76KQ,true
B07B4T9TFZ,0,"",B07B4T9TFZ,5.0,So adorable! My kid loves it.,,Too cute,AH4CGRSYSW5CWLRGQYRZKNJBUPAA,true
0786965622,0,"",B09Y1XLLTX,4.0,Son loves it,,Four Stars,AF7STGSJYCAHOQAKN3JTC3JC3Y5A,true
B0171TRGTA,0,"",B0171TRGTA,5.0,"My daughter loves these. They do sink however I overlooked that in the description, they work in the bathtub just fine",,Happy baby girl,AFXUNKJFY5ERNDCRPH5J22372ZMA,true
B075JJX55H,0,"",B0C697WX7D,5.0,These are super cute and look exactly as advertised only downside is that for some strange reason the ink seems to be split into two colours down the middle and so the bigger stamps look weird if you use them normally the half and half colour doesn't help to show the image but just in general the stamps are really neat and I appreciate the variety as well.,,These stamps are super cute!,AFA26DYXVLJYTYZ3KET77GE27N2A,true
B071Z4SPPM,0,"",B09KNJ71R4,5.0,"Squishiessss!!! Perfect gift! Perfect smell, I love these squishies I wish I could get all the squishies in the universe I love them so much ! This is a good addition also great scent! Still looking for the round bread one on amazon it is by far my favourite but this long one is a bit similar and the size is just perfect I like the sizing the bigger ones are just a bit too much for me but this size is just right big enough for a good squish but not so big that they bother me with space, also very soft!!! I just like this so much :) Please never change the price hahaha",,So squishy! Love the smell!,AFA26DYXVLJYTYZ3KET77GE27N2A,true
B06XJPQVHB,5,"",B0895G26DW,5.0,"These are different from the ones I bought at the store not sure if they are literally different quality just because of that but it's quite literally the same brand so I am very confussed if they changed the quality or what happened, I am not angry or anything just saying I noticed they are different, I was trying to replace my old one and noticed that the material is a lot thinner for the new one I bought not only that but the smell is also very different, by that I mean that my old one obviously doesn't have any much more scent left anymore but you could still kind of get something from it, and even so the smell is quite literally a different one not the same (that is something I prefered before as compared to now it smells a lot more like actual bread/ makes me hungry too), the squishie itself is a lottt softer than the one I previously owned so that I am not sure if it's a plus or not I liked the consistency of it before but I guess it's cool that's its softer too for other people maybe? I like it harder because I can actually squish it harder without being afraid of accidentally breaking it, I guess for now I am just confused as to why I get a different product at the store when I buy the exact same brand, just completely different quality, did they change it?",,They are different from the ones at the store,AFA26DYXVLJYTYZ3KET77GE27N2A,true
B012U03Q2G,0,"",B012U03Q2G,5.0,"Perfect, I wish I could've gotten the crown moriarty as well for a better offer but this one was still good &#60;3 I love him! Next best thing to crown moriarty.",,Love it !,AFA26DYXVLJYTYZ3KET77GE27N2A,true
B0160JBGRA,0,"",B08NP9CCPW,5.0,Gift for my daughter. For all her hard work online in school and doing her chores! She loves it! Has a book describing each stone etc.,,Daughter loves!,AFLGWVMNAKFSOPJNKKLYHP2F2IMQ,true
B00004YSXF,0,"",B08284QTQZ,5.0,"Just as expected. Color variety is good. I purchased these for student use in my classroom. When comparing other inexpensive colored pencils for students, these are the best.",,Great for Students,AHV6QCNBJNSGLATP56JAWJ3C4G2A,true
B01066UO4O,1,"",B01066UO4O,5.0,I ordered these sleeves for my teenage son. He is using them for his &#34;special&#34; Magic the Gathering cards. They are sturdy and offer good protection to his favorite cards. The image is clear and printed nicely.,,Nice Quality,AHV6QCNBJNSGLATP56JAWJ3C4G2A,true
B010TU7LP2,34,"",B0C4VDCPGM,4.0,"I did not realize that this was an explicit version of the game. I have two teenagers and we have played this as a family. Although explicit, it wasn't &#34;too&#34; bad. If I had noticed, I probably would have ordered the original. For the most part, we weren't reading the details of the cards, we were concentrating on looking for matches. I wasn't offended by any of the cards personally. I would compare it to potty humor or what you might expect from a teenage boy. The game itself is fun to play. The instructions are easy enough to follow and understand.",,Fun Game,AHV6QCNBJNSGLATP56JAWJ3C4G2A,true
B07DCLFB9C,0,"",B08DTSV8DX,5.0,My grandkids love it,,They are to long.,AGYBOBPV47L6FRILNSZ7S6XFLPFA,true
B004SCELN8,0,"",B004SCELN8,1.0,These lasted less than 3 days. We bought two sets for Christmas and they both have holes in the seams and don’t hold any air. Huge disappointment,,Disappointing! Won’t last more than a few days.,AEQPUFAW5OWSGOHVW53WT3STY5SQ,true
B09MLQKGM6,1,"",B0B6F2R7GR,5.0,"My daughter loves this guy.  He's very soft, and is very well made.",,Great Product,AE6SFGOYFVW5332HQFP5TSJPOZYA,true
B0143I00PY,1,"",B0143I00PY,4.0,My mom once made these dolls but we lost her and all the dolls. I needed these just to have.,,Had to have memory of my mom,AFAMOLAPKR3M2NPTMB362T2Q5RBQ,true
B00005RF5G,0,"",B09VV4G9FZ,5.0,"The twins, are really enjoying these..........",,Five Stars,AFUDWIMEA2LWNVEGMVVEOXFDBZTA,true
B00U2UO2G6,0,"",B00U2UO2G6,5.0,Make my niece very happy,,Five Stars,AHN4W5UPINW54AZAYFQS4XZTWYDQ,true
B00A80X19E,0,"",B09C6M7F93,5.0,my pups love the toy. I do need to keep it away from the big dogs who will tear it up.,,cute and fun,AEE4BXFE7TFTVFCF67SANXQOQBVA,true
